src/lib/iqra/04-quran/topological_curiosity.ts(114,30): error TS2304: Cannot find name 'CodebaseTopologyMapper'.
src/lib/iqra/12-infrastructure/tools_registry.ts(261,48): error TS2307: Cannot find module '../quran/pattern_hunter.js' or its corresponding type declarations.
src/lib/iqra/12-infrastructure/tools_registry.ts(274,48): error TS2307: Cannot find module '../quran/pattern_hunter.js' or its corresponding type declarations.
src/lib/iqra/12-infrastructure/tools_registry.ts(286,48): error TS2307: Cannot find module '../quran/pattern_hunter.js' or its corresponding type declarations.
src/lib/iqra/12-infrastructure/tools_registry.ts(390,17): error TS2339: Property 'IQRAHeartbeat' does not exist on type 'typeof import("/Applications/iqra/src/lib/iqra/12-infrastructure/heartbeat")'.
src/lib/iqra/12-infrastructure/tools_registry.ts(406,17): error TS2339: Property 'IQRAHeartbeat' does not exist on type 'typeof import("/Applications/iqra/src/lib/iqra/12-infrastructure/heartbeat")'.
src/lib/iqra/13-utils/browser_manager.ts(1,29): error TS2307: Cannot find module 'playwright' or its corresponding type declarations.
src/lib/iqra/13-utils/email.ts(35,5): error TS2561: Object literal may only specify known properties, but 'replyTo' does not exist in type 'CreateEmailOptions'. Did you mean to write 'reply_to'?
src/lib/iqra/13-utils/telegram_bot.ts(45,33): error TS2307: Cannot find module 'grammy' or its corresponding type declarations.
src/lib/iqra/simulation/mcts_engine.ts(38,7): error TS2783: 'simulations' is specified more than once, so this usage will be overwritten.
src/lib/iqra/simulation/mcts_engine.ts(39,7): error TS2783: 'exploration' is specified more than once, so this usage will be overwritten.
src/lib/iqra/simulation/mcts_engine.ts(40,7): error TS2783: 'rollout_depth' is specified more than once, so this usage will be overwritten.
src/lib/iqra/simulation/mcts_engine.ts(41,7): error TS2783: 'time_limit' is specified more than once, so this usage will be overwritten.
src/scripts_v2/auto_improve.ts(250,26): error TS2351: This expression is not constructable.
  Type 'typeof import("/Applications/iqra/node_modules/@google/generative-ai/dist/generative-ai")' has no construct signatures.
src/scripts_v2/dashboard.ts(10,21): error TS2307: Cannot find module 'blessed' or its corresponding type declarations.
src/scripts_v2/marathon.ts(68,41): error TS2339: Property 'generateCommitMessage' does not exist on type 'typeof IQRAStoryteller'.
src/scripts_v2/marathon.ts(76,25): error TS2339: Property 'logToHadith' does not exist on type 'typeof IQRAStoryteller'.
src/scripts_v2/smart_fixer.ts(88,3): error TS4104: The type 'readonly Diagnostic[]' is 'readonly' and cannot be assigned to the mutable type 'Diagnostic[]'.
src/scripts_v2/test_runtime_integrity.ts(7,30): error TS2307: Cannot find module '#runtime/sovereign-gateway' or its corresponding type declarations.
src/scripts_v2/test_runtime_integrity.ts(8,42): error TS2307: Cannot find module '#runtime/topological-memory-bridge' or its corresponding type declarations.
src/scripts_v2/trading_pulse.ts(3,10): error TS2305: Module '"#utils/telegram_bot"' has no exported member 'TelegramBot'.
src/tests/01_security_trustchain.e2e.ts(15,8): error TS2307: Cannot find module '../lib/iqra/security' or its corresponding type declarations.
src/tests/02_filter_fitrah.e2e.ts(9,28): error TS2307: Cannot find module '../lib/iqra/filter' or its corresponding type declarations.
src/tests/03_groq_resonance.e2e.ts(12,8): error TS2307: Cannot find module '../lib/iqra/llm/groq' or its corresponding type declarations.
src/tests/05_curiosity_engine.e2e.ts(11,48): error TS2307: Cannot find module '../lib/iqra/quran/curiosity' or its corresponding type declarations.
src/tests/05_curiosity_engine.e2e.ts(12,58): error TS2307: Cannot find module '../lib/iqra/utils/similarity' or its corresponding type declarations.
src/tests/06_topology_loop.e2e.ts(9,47): error TS2307: Cannot find module '../lib/iqra/quran/topology' or its corresponding type declarations.
src/tests/06_topology_loop.e2e.ts(11,36): error TS2307: Cannot find module '../lib/iqra/quran/nested_sevens' or its corresponding type declarations.
src/tests/07_sovereign_evolution.e2e.ts(9,33): error TS2307: Cannot find module '../lib/iqra/sovereign' or its corresponding type declarations.
src/tests/07_sovereign_evolution.e2e.ts(12,36): error TS2307: Cannot find module '../lib/iqra/security' or its corresponding type declarations.
src/tests/08_commit_learning.e2e.ts(18,8): error TS2307: Cannot find module '../lib/iqra/learning/commit_learner' or its corresponding type declarations.
src/tests/08_commit_learning.e2e.ts(23,8): error TS2307: Cannot find module '../lib/iqra/design/stitch' or its corresponding type declarations.
src/tests/08_commit_learning.e2e.ts(46,39): error TS7006: Parameter 'c' implicitly has an 'any' type.
src/tests/08_commit_learning.e2e.ts(51,36): error TS7006: Parameter 'acc' implicitly has an 'any' type.
src/tests/08_commit_learning.e2e.ts(51,41): error TS7006: Parameter 'c' implicitly has an 'any' type.
src/tests/08_commit_learning.e2e.ts(119,36): error TS7006: Parameter 'd' implicitly has an 'any' type.
src/tests/09_doctrinal_guard.e2e.ts(11,53): error TS2307: Cannot find module '../lib/iqra/quran/doctrinal_guard' or its corresponding type declarations.
src/tests/09_doctrinal_guard.e2e.ts(19,8): error TS2307: Cannot find module '../lib/iqra/learning/closed_loop' or its corresponding type declarations.
src/tests/09_doctrinal_guard.e2e.ts(180,19): error TS7006: Parameter 't' implicitly has an 'any' type.
src/tests/curiosity.test.ts(1,33): error TS2307: Cannot find module '../lib/iqra/quran/curiosity' or its corresponding type declarations.
src/tests/curiosity.test.ts(2,29): error TS2307: Cannot find module '../lib/iqra/utils/similarity' or its corresponding type declarations.
src/tests/curiosity.test.ts(3,27): error TS2307: Cannot find module '../lib/iqra/security' or its corresponding type declarations.
src/tests/curiosity.test.ts(4,23): error TS2307: Cannot find module '../lib/iqra/llm/groq' or its corresponding type declarations.
src/tests/debug_alias.test.ts(2,33): error TS2307: Cannot find module '#security/conscience/damir_conscience' or its corresponding type declarations.
src/tests/decode_world_code.test.ts(2,39): error TS2307: Cannot find module '../lib/iqra/quran/market_resonance' or its corresponding type declarations.
src/tests/decode_world_code.test.ts(3,30): error TS2307: Cannot find module '../lib/iqra/rewards/engine' or its corresponding type declarations.
src/tests/e2e/10_serendipity_exploration.e2e.ts(2,33): error TS2307: Cannot find module '../../orchestrator/topological-loop' or its corresponding type declarations.
src/tests/e2e/10_serendipity_exploration.e2e.ts(5,30): error TS2307: Cannot find module '../../rewards/engine' or its corresponding type declarations.
src/tests/e2e/10_serendipity_exploration.e2e.ts(6,30): error TS2307: Cannot find module '../../ledger/reward-ledger' or its corresponding type declarations.
src/tests/e2e/10_serendipity_exploration.e2e.ts(52,65): error TS2345: Argument of type '{ response: string; reports: any; context: { novelty: number; resonance: { coherence: number; }; }; }' is not assignable to parameter of type '{ response: string; reports: WorkerReport[]; provider: string; context: any; }'.
  Property 'provider' is missing in type '{ response: string; reports: any; context: { novelty: number; resonance: { coherence: number; }; }; }' but required in type '{ response: string; reports: WorkerReport[]; provider: string; context: any; }'.
src/tests/e2e/10_serendipity_exploration.e2e.ts(114,65): error TS2345: Argument of type '{ response: string; reports: any; context: { novelty: number; resonance: { coherence: number; }; }; }' is not assignable to parameter of type '{ response: string; reports: WorkerReport[]; provider: string; context: any; }'.
  Property 'provider' is missing in type '{ response: string; reports: any; context: { novelty: number; resonance: { coherence: number; }; }; }' but required in type '{ response: string; reports: WorkerReport[]; provider: string; context: any; }'.
src/tests/e2e/10_serendipity_exploration.e2e.ts(160,65): error TS2345: Argument of type '{ response: string; reports: any; context: {}; }' is not assignable to parameter of type '{ response: string; reports: WorkerReport[]; provider: string; context: any; }'.
  Property 'provider' is missing in type '{ response: string; reports: any; context: {}; }' but required in type '{ response: string; reports: WorkerReport[]; provider: string; context: any; }'.
src/tests/e2e/iqra-system.test.ts(137,46): error TS2341: Property 'validateMutation' is private and only accessible within class 'IQRAEvolution'.
src/tests/e2e/iqra-system.test.ts(147,46): error TS2341: Property 'validateMutation' is private and only accessible within class 'IQRAEvolution'.
src/tests/e2e/memory_growth.e2e.ts(12,30): error TS2307: Cannot find module '../../ledger/reward-ledger' or its corresponding type declarations.
src/tests/e2e/pattern_hunter.e2e.ts(25,31): error TS2307: Cannot find module '#12-infrastructure/tools_registry' or its corresponding type declarations.
src/tests/e2e/pattern_hunter.e2e.ts(104,72): error TS2554: Expected 1 arguments, but got 2.
src/tests/e2e/pattern_hunter.e2e.ts(115,40): error TS2339: Property 'compare' does not exist on type 'typeof AbjadCalculator'.
src/tests/e2e/pattern_hunter.e2e.ts(334,46): error TS7006: Parameter 't' implicitly has an 'any' type.
src/tests/e2e/quranic_resonance.test.ts(19,24): error TS2339: Property 'bridge' does not exist on type 'TopologicalResonance'.
src/tests/e2e/resonance_cycle.test.ts(2,33): error TS2307: Cannot find module '#quran/curiosity' or its corresponding type declarations.
src/tests/e2e/sovereign_intelligence.e2e.ts(17,28): error TS2307: Cannot find module '../../lib/iqra/02-infra/logger' or its corresponding type declarations.
src/tests/e2e/sovereign_intelligence.e2e.ts(20,1): error TS2582: Cannot find name 'describe'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
src/tests/e2e/sovereign_intelligence.e2e.ts(22,3): error TS2304: Cannot find name 'beforeAll'.
src/tests/e2e/sovereign_intelligence.e2e.ts(27,3): error TS2582: Cannot find name 'test'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
src/tests/e2e/sovereign_intelligence.e2e.ts(38,5): error TS2304: Cannot find name 'expect'.
src/tests/e2e/sovereign_intelligence.e2e.ts(39,5): error TS2304: Cannot find name 'expect'.
src/tests/e2e/sovereign_intelligence.e2e.ts(40,5): error TS2304: Cannot find name 'expect'.
src/tests/e2e/sovereign_intelligence.e2e.ts(43,3): error TS2582: Cannot find name 'test'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
src/tests/e2e/sovereign_intelligence.e2e.ts(54,5): error TS2304: Cannot find name 'expect'.
src/tests/e2e/sovereign_intelligence.e2e.ts(55,5): error TS2304: Cannot find name 'expect'.
src/tests/e2e/sovereign_intelligence.e2e.ts(56,5): error TS2304: Cannot find name 'expect'.
src/tests/e2e/sovereign_intelligence.e2e.ts(60,5): error TS2304: Cannot find name 'expect'.
src/tests/e2e/sovereign_intelligence.e2e.ts(63,3): error TS2582: Cannot find name 'test'. Do you need to install type definitions for a test runner? Try `npm i --save-dev @types/jest` or `npm i --save-dev @types/mocha`.
src/tests/e2e/sovereign_intelligence.e2e.ts(73,5): error TS2304: Cannot find name 'expect'.
src/tests/e2e/sovereign_intelligence.e2e.ts(74,5): error TS2304: Cannot find name 'expect'.
src/tests/e2e/sovereign_resonance.test.ts(54,48): error TS18046: 'error' is of type 'unknown'.
src/tests/e2e/topological-curiosity.e2e.ts(4,33): error TS2307: Cannot find module '../../orchestrator/topological-loop' or its corresponding type declarations.
src/tests/go_engine_client.test.ts(3,32): error TS2307: Cannot find module '../lib/iqra/quran/go_engine_client' or its corresponding type declarations.
src/tests/governance_sanity.test.ts(3,28): error TS2307: Cannot find module '../lib/iqra/filter' or its corresponding type declarations.
src/tests/sovereign_error.test.ts(2,52): error TS2307: Cannot find module '../src/errors/sovereign_error' or its corresponding type declarations.
src/tests/test_curiosity.test.ts(2,33): error TS2307: Cannot find module '../lib/iqra/quran/curiosity' or its corresponding type declarations.
src/tests/test_curiosity.test.ts(3,29): error TS2307: Cannot find module '../lib/iqra/utils/similarity' or its corresponding type declarations.
src/tests/test_curiosity.test.ts(4,27): error TS2307: Cannot find module '../lib/iqra/security' or its corresponding type declarations.
src/tests/test_curiosity.test.ts(5,23): error TS2307: Cannot find module '../lib/iqra/llm/groq' or its corresponding type declarations.
src/tests/unit/constitutional_rules.test.ts(23,34): error TS2307: Cannot find module '../../agents/contracts' or its corresponding type declarations.
src/tests/unit/hierarchical-memory-system.test.ts(8,42): error TS2307: Cannot find module '#core/HierarchicalMemorySystem' or its corresponding type declarations.
src/tests/unit/iqra-seven-layer-architecture.test.ts(11,8): error TS2307: Cannot find module '#core/IQRASevenLayerArchitecture' or its corresponding type declarations.
src/tests/unit/ollama_local.test.ts(73,48): error TS2307: Cannot find module '../../lib/iqra/llm/ollama.ts' or its corresponding type declarations.
src/tests/unit/ollama_local.test.ts(146,44): error TS2307: Cannot find module '../#memory/memory/micro_memory.ts' or its corresponding type declarations.
src/tests/unit/ollama_local.test.ts(223,44): error TS2307: Cannot find module '../../lib/iqra/llm/ollama.ts' or its corresponding type declarations.
src/tests/unit/ollama_local.test.ts(231,44): error TS2307: Cannot find module '../../lib/iqra/llm/ollama.ts' or its corresponding type declarations.
src/tests/unit/orchestrator.test.ts(2,27): error TS2307: Cannot find module '../../lib/iqra/orchestrator' or its corresponding type declarations.
src/tests/unit/reward-engine.test.ts(37,47): error TS2345: Argument of type '{ novelty: number; resonance: number; }' is not assignable to parameter of type 'RewardVector'.
  Type '{ novelty: number; resonance: number; }' is missing the following properties from type 'RewardVector': topology, penalty
src/tests/unit/reward-engine.test.ts(54,47): error TS2345: Argument of type '{ novelty: number; resonance: number; topology: number; }' is not assignable to parameter of type 'RewardVector'.
  Property 'penalty' is missing in type '{ novelty: number; resonance: number; topology: number; }' but required in type 'RewardVector'.
src/tests/unit/reward_pristine.test.ts(20,3): error TS2739: Type '{ mission_id: string; worker_id: string; implemented: string[]; undone: never[]; commands_run: never[]; issues_discovered: never[]; skills_used: never[]; procedures_followed: boolean; status: "PASS" | "FAIL"; exit_code: number; source_attestations: never[]; no_mock_verified: true; timestamp: number; }' is missing the following properties from type 'WorkerReport': intent, context_snapshot, artifacts
src/tests/unit/reward_pristine.test.ts(293,22): error TS2339: Property 'computePristineMultiplier' does not exist on type 'typeof RewardEngine'.
src/tests/unit/turbo_compress.test.ts(60,21): error TS2339: Property 'train' does not exist on type 'typeof TurboCompressor'.
src/tests/unit/turbo_compress.test.ts(68,36): error TS2339: Property 'train' does not exist on type 'typeof TurboCompressor'.
src/tests/unit/turbo_compress.test.ts(74,21): error TS2339: Property 'initialized' does not exist on type '{ algorithm: string; embedding_dim: number; compression_ratio: number; min_similarity_guarantee: number; requires_training: boolean; pool_stats: PoolStats | null; }'.
src/tests/unit/turbo_compress.test.ts(75,21): error TS2339: Property 'training_size' does not exist on type '{ algorithm: string; embedding_dim: number; compression_ratio: number; min_similarity_guarantee: number; requires_training: boolean; pool_stats: PoolStats | null; }'.
src/tests/unit/turbo_compress.test.ts(76,21): error TS2339: Property 'avg_error' does not exist on type '{ algorithm: string; embedding_dim: number; compression_ratio: number; min_similarity_guarantee: number; requires_training: boolean; pool_stats: PoolStats | null; }'.
src/tests/unit/turbo_compress.test.ts(77,21): error TS2339: Property 'compression_ratio_theoretical' does not exist on type '{ algorithm: string; embedding_dim: number; compression_ratio: number; min_similarity_guarantee: number; requires_training: boolean; pool_stats: PoolStats | null; }'.
src/tests/unit/turbo_compress.test.ts(93,24): error TS2339: Property 'indices' does not exist on type 'QuantizedVector'.
src/tests/unit/turbo_compress.test.ts(94,24): error TS2339: Property 'indices' does not exist on type 'QuantizedVector'.
src/tests/unit/turbo_compress.test.ts(200,40): error TS2339: Property 'exportCodebook' does not exist on type 'typeof TurboCompressor'.
src/tests/unit/turbo_compress.test.ts(207,40): error TS2339: Property 'exportCodebook' does not exist on type 'typeof TurboCompressor'.
src/tests/unit/turbo_compress.test.ts(211,23): error TS2339: Property 'loadCodebook' does not exist on type 'typeof TurboCompressor'.
src/tests/unit/turbo_compress.test.ts(249,23): error TS2339: Property 'train' does not exist on type 'typeof TurboCompressor'.
